Medicamento,Nome_do_Arquivo_PDF,Doencas_CIDs,Caminho_Local,URL_Origem
alfainterferona 2b,40_alfainterferona_2b_hemangioma_infantil_v13.pdf,,pdfs_bmed_alto_custo\40_alfainterferona_2b_hemangioma_infantil_v13.pdf,http://www.saude.sp.gov.br/resources/ses/perfil/gestor/assistencia-farmaceutica/medicamentos-dos-componentes-da-assistencia-farmaceutica/medicamentos-do-componente-especializado-da-assistencia-farmaceutica/protocolos-clinicos-e-diretrizes-terapeuticas-do-ministerio-da-saude/40_alfainterferona_2b_hemangioma_infantil_v13.pdf
amantadina,20_amantadina_parkinson__v16.pdf,,pdfs_bmed_alto_custo\20_amantadina_parkinson__v16.pdf,http://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/20_amantadina_parkinson__v16.pdf
ambrisentana,21_ambrisentana_hipertensao_arterial_pulmonar_v15.pdf,,pdfs_bmed_alto_custo\21_ambrisentana_hipertensao_arterial_pulmonar_v15.pdf,http://www.saude.sp.gov.br/resources/ses/perfil/gestor/assistencia-farmaceutica/medicamentos-do-componente-especializado-da-assistencia-farmaceutica/21_ambrisentana_hipertensao_arterial_pulmonar_v15.pdf
atorvastatina,22_atorvastatina_dislipidemia_v7.pdf,,pdfs_bmed_alto_custo\22_atorvastatina_dislipidemia_v7.pdf,http://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/22_atorvastatina_dislipidemia_v7.pdf
azatioprina,259_azatioprina_anaplmielneutconst_v6_12_22.pdf,,pdfs_bmed_alto_custo\259_azatioprina_anaplmielneutconst_v6_12_22.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/259_azatioprina_anaplmielneutconst_v6_12_22.pdf
azatioprina,23_azatioprina_artrite_reumatoide_v6.pdf,,pdfs_bmed_alto_custo\23_azatioprina_artrite_reumatoide_v6.pdf,https://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/23_azatioprina_artrite_reumatoide_v6.pdf
azatioprina,24_azatioprina_dermatomiosite_v15.pdf,,pdfs_bmed_alto_custo\24_azatioprina_dermatomiosite_v15.pdf,https://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/24_azatioprina_dermatomiosite_v15.pdf
azatioprina,25_azatioprina_crohn_v6.pdf,,pdfs_bmed_alto_custo\25_azatioprina_crohn_v6.pdf,https://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/25_azatioprina_crohn_v6.pdf
azatioprina,26_azatioprina_esclerose_multipla_v7.pdf,,pdfs_bmed_alto_custo\26_azatioprina_esclerose_multipla_v7.pdf,https://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/26_azatioprina_esclerose_multipla_v7.pdf
azatioprina,27_azatioprina_esclerose_sistemica_v6.pdf,,pdfs_bmed_alto_custo\27_azatioprina_esclerose_sistemica_v6.pdf,https://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/27_azatioprina_esclerose_sistemica_v6.pdf
azatioprina,28_azatioprina_hepatite_autoimune_v6.pdf,,pdfs_bmed_alto_custo\28_azatioprina_hepatite_autoimune_v6.pdf,https://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/28_azatioprina_hepatite_autoimune_v6.pdf
azatioprina,29_azatioprina_lupus_v18.pdf,,pdfs_bmed_alto_custo\29_azatioprina_lupus_v18.pdf,https://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/29_azatioprina_lupus_v18.pdf
azatioprina,30_azatioprina_miastenia_gravis_v5_1_.pdf,,pdfs_bmed_alto_custo\30_azatioprina_miastenia_gravis_v5_1_.pdf,https://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/30_azatioprina_miastenia_gravis_v5_1_.pdf
azatioprina,31_azatioprina_purpura_v5.pdf,,pdfs_bmed_alto_custo\31_azatioprina_purpura_v5.pdf,https://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/31_azatioprina_purpura_v5.pdf
